اسد,Asad
بيتر,Peter
قاسم,Qasim
رشيد,Rashid
ريم,Reem
راما,Rama
روان,Rawan
روبي,Ruba
سعيد,Saeed
صلاح,Salah
سامر,Samer
صبري,Sabri
صالح,Saleh
جميل,Shezan
شمامة,Shamama
شهد,Shahed
سناء,Sanaa
شوكيرا,Shukria
صفاء,Safa
شذى,Shaza
سهام,Siham
سالي,Sali
سوزان,Suzan
سمر,Samar
سامية,Samia
تامر,Tamer
تميم,Tamim
طلعت,Talaat
تمار,Tamar
توشانا,Toshana
امل الخير,Ummul khair
وليد,Waleed
وسام,Wissam
وجه,Wajeh
وجدي,Wajdi
وادي,Wadi
وحيد,Wahid
وجيه,Wajih
وجيه	Wajeeh
وكيل,Wakil
وليد,Waleed
وليد	Walid
ولي الله,Walliyullah
وسيم,Wasim
وسيم	Waseem
وزير,Wazir
وقار,Waqar
وفى,Wafa
يحيى,Yahiya
يعقوب,Yacoob
ياسمين,Yasmine
يسرى,Yusra
يمنى,Youmna
زفير,Zafir
زاهذ,Zahid
ظهير,Zahir
زيد,Zaid
زيد	Zayd
زيم,Zaim
زكريا,Zakariyya
زكي,Zaki
زكية,Zakiy
زياد,Ziad
زهير,Zuhair
ذو الفقار,Zul fiqar
زهيرة,Zohaira
زارا,Zara
عالية  ,Aaliyah
امنة  ,Aaminah
امر  ,Aamir
عباس  ,Abbas
Abu Bakr,ابو بكر
Awni,عوني
Aron,آرون
Abd elhai,عبد الحي
Abd elghafour,عبد الغفور
Abd elghafar,عبد الغفار
Abd elhakim,عبد الحكيم
Abd elhalim,عبد الحليم
Abd elwahab,عبد الوهاب
Abd allah,عبد الله
Abd elmoteleb,عبد المطلب
Abd eltawab,عبد التواب
Abd elmajeed,عبد المجيد
Abd elshafi,عبد الشافي
Abd elghani,عبد الغني
Abd elkodos,عبد القدوس
عبد الحميد,Abd elhamid
عبد الكريم,Abd elkarim
عبد اللطيف,Abd ellatif
عبد القادر,Abd elqadir
عبد الرشيد,Abd elrashid
عبد الرحمن,Abd elrahman
عبد الرشيد,Abd elrashid
Abd elsamad,عبد الصمد
Abd elbadee,عبد البديع
Abd elmoeen,عبد المعين
Abd elsamme,عبد السميع
Abd elsalam,عبد السلام
ابو  ,Abu
ابو بكر  ,Abu bakr
ادم  ,Adam
عادل  ,Adil
عدنان  ,Adnan
عفيف  ,Afif
افضل  ,Afzal
احمد  ,Ahmed
عائشة  ,'aisha
عائشة  ,Aisha
اكرم  ,Akram
علاء الدين  ,Ala al-din
علي  ,'ali
علياء  ,Alia
علية  ,Aliyah
علية  ,Aliyyah
علياء  ,Alya
اماني  ,Amani
امنة	Amina
امينة  ,Amina
امينة  ,Aminah
اميرة  ,Amira
امجد  ,Amjad
عمار  ,Ammar
انس  ,Anas
انيس  ,Anis
انور  ,Anwar
عاقل  ,Aqil
اريج  ,Arij
اسعد  ,As'ad
اشفاق  ,Ashfaq
اصف  ,Asif
اسمى  ,Asma
اسرى  ,Asra
عطاء الله  ,Atallah
عاطف  ,Atif
عطية  ,Atiya
عائدة  ,Ayda
عائشة  ,Ayishah
ايوب  ,Ayyub
عزيز  ,'aziz
عذراء  ,Azra
بهاء  ,Baha
بهيجة  ,Bahiga
بهيجة  ,Bahija
باقي  ,Baki
باقي  ,Baqi
باراك  ,Barack
بركات  ,Barakat
باسم  ,Basim
بصير  ,Basir
باسط  ,Basit
بسام  ,Bassam
بتول  ,Batul
بنيامين  ,Binyamin
بولس  ,Boulos
بدور  ,Budur
برهان  ,Burhan
دلال  ,Dalal
دانية  ,Dania
دانيال  ,Danyal
داود  ,Dawood
ديمة  ,Dema
ضياء  ,Diya
دعاء  ,Dua
إبراهيم  ,Ebrahim
عيسى  ,Essa
فادية  ,Fadia
فاضلة  ,Fadila
فهد  ,Fahd
فهمة  ,Fahima
فائز  ,Faiz
فيصل  ,Faizel
فخري  ,Fakhri
فرج  ,Farag
فرج  ,Faraj
فريد  ,Farid
فرحة  ,Fariha
فاروق  ,Farooq
فرح  ,Farrah
فاروق  ,Faruq
فتحية  ,Fathiyya
فاطمة  ,Fatimah
فطين  ,Fatin
فوزي  ,Fawzi
فوزية  ,Fawziyya
فيروز  ,Fayruz
فائزة  ,Fayza
فضة  ,Fidda
فكري  ,Fikri
فردوس  ,Firdaus
فضة  ,Fizza
فؤاد  ,Fuad
جبر  ,Gabr
جلال  ,Galal
جمال  ,Gamal
جميلة  ,Gamila
جواهر  ,Gauhar
جودت  ,Gawdat
غادة  ,Ghada
غالب  ,Ghalib
غسان  ,Ghassan
غفران  ,Ghufran
جودة  ,Guda
حبيبة  ,Habiba
هادي  ,Hadi
هديل  ,Hadil
هدية  ,Hadiyya
هادية  ,Hadya
حفيظ  ,Hafiz
حفصة  ,Hafsah
هاجر  ,Hagir
حيدر  ,Haider
هاجر  ,Hajar
حكيم  ,Hakim
حليم  ,Halim
حميد  ,Hameed
حميدة  ,Hamida
هناء  ,Hana
حنان  ,Hanan
هنية  ,Hania
حنيفة  ,Hanifa
هنية  ,Haniyya
حارث  ,Harith
هارون  ,Harun
هاشم  ,Hashim
حاسم  ,Hasim
حسان  ,Hassan
حواء  ,Hawa
هيفاء  ,Hayfa
هشام  ,Hesham
حكمة  ,Hikmat
حسين  ,Hisein
هدى  ,Hooda
حسام  ,Hossam
حسام  ,Houssam
حسين  ,Husain
حسين  ,Husayn
حسني  ,Husni
حسين  ,Hussain
حيدر  ,Hyder
إبراهيم  ,Ibrahim
إبتسام  ,Ibtisam
إيهاب  ,Ihab
إكرام  ,Ikraam
إلهام  ,Ilham
عماد  ,Imad
إيمان  ,Iman
عمرام  ,Imram
إمتياز  ,Imtiyaz
إيناس  ,Inas
عرفان  ,Irfan
عصام  ,'isam
إسماعيل  ,Isma'il
عصمة  ,'ismat
إسراء  ,Israa
اعتدال  ,I'tidal
إزدهار  ,Izdihar
عز الدين  ,Izz ud-din
جابر  ,Jabir
جبريل  ,Jabril
جعفر  ,Jaffar
جلال  ,Jalal
جليلة  ,Jalila
جمال  ,Jamal
جميلة  ,Jameela
جميلة  ,Jamila
جنان  ,Janan
جاذبية  ,Jathibiyya
جودت  ,Jawdat
جنان  ,Jinan
جمانة  ,Jumana
جنيد  ,Junaid
قدير  ,Kader
كامل  ,Kamil
كريم  ,Kareem
كريمة  ,Karima
خديجة  ,Khadija
خليل  ,Khaleel
خالدة  ,Khalida
خليل  ,Khalil
خليق  ,Khaliq
خيرات  ,Khayrat
خيرية  ,Khayriyya
ليلى  ,Laila
لميس  ,Lamis
لطيفة  ,Lateefah
لطيفة  ,Latifa
ليلى  ,Leila
لينا  ,Lina
لجين  ,Lujayn
لطفي  ,Lutfi
مهاة  ,Maha
محفوظ  ,Mahfuz
محمود  ,Mahmood
محمود  ,Mahmud
مكرم  ,Makram
ملك  ,Malak
ملكة  ,Malika
منصور  ,Mansur
مريم  ,Mariam
مريم  ,Maryam
مسعود  ,Masoud
معصومة  ,Masuma
مدحة  ,Midha
محمد  ,Mihammad
معراج  ,Miraj
مسعد  ,Mis'id
محمد  ,Mohammad
منى  ,Mona
منى  ,Mouna
مبينة  ,Mubina
محمد  ,Muhammad
محسن  ,Muhsin
مختار  ,Mukhtar
مؤمنة  ,Mumina
منى  ,Muna
منيرة  ,Munira
مراد  ,Murad
مرتضى  ,Murtaza
مسعد  ,Mus'ad
مصطفى  ,Mustapha
معتصم  ,Mu'tasim
نبيلة  ,Nabila
نادر  ,Nader
نديم  ,Nadim
نادرة  ,Nadira
نضرة  ,Nadra
نجي  ,Nagi
نائل  ,Nail
نعيم  ,Na'im
نجي  ,Naji
نجوى  ,Najwa
نصير  ,Naseer
نسيب  ,Nasib
ناصر	Nasir
نصير  ,Nasir
ناصر  ,Nasser
نويد  ,Naveed
نوال  ,Nawal
نزيه  ,Nazih
نظلي  ,Nazli
نعمة  ,Nima
نزار  ,Nizar
نور  ,Nour
نهى  ,Nuha
نورة  ,Nura
عمر  ,Omar
قدير  ,Qadir
قاسم  ,Qasim
قصي  ,Qusay
رباب  ,Rabab
ربيعة  ,Rabi'a
رفيق  ,Rafiq
راحة  ,Rahat
رحيم  ,Rahim
رئيس  ,Rais
رجاء  ,Raja
رجية  ,Rajiya
رمضان  ,Ramadan
رملة  ,Ramlah
رندة  ,Randa
رانية  ,Ranya
رشاد  ,Rashad
رشيد  ,Rasheed
رشيدة	Rashida
راشدة  ,Rashida
راسمة  ,Rasima
رؤوف  ,Rauf
راوية  ,Rawya
ريحانة  ,Rayhana
رضاء  ,Reda
رياض  ,Riad
رضاء  ,Rida
رضوان  ,Ridwan
رفعة  ,Rifat
ريم  ,Rim
رضوانة  ,Rizwana
روح  ,Ruh
رقية  ,Ruqayyah
رواء  ,Ruwa
سعادة  ,Sa'adat
عز الدين  ,Sabah ud-din
صبري  ,Sabri
سعد  ,Sa'd
صدام  ,Saddam
سعدية  ,Sa'dia
صفية  ,Safiya
سحر  ,Sahar
سعيدة  ,Sa'ida
سيف الدين  ,Saif al-din
سيف الله  ,Saifullah
صخر  ,Sakhr
صلاح  ,Salah
سليم  ,Saleem
صالحة  ,Salha
صالحة  ,Saliha
سليم  ,Salim
سلمى  ,Salma
سلوة  ,Salwah
سمر  ,Samar
سميرة  ,Sameera
سامية  ,Samia
سمير  ,Samir
سامية  ,Samiya
سني  ,Sani
سنية  ,Sanya
سارة  ,Sarah
سيد  ,Sayyid
سليمة  ,Selima
شادي  ,Shadi
شادية  ,Shadya
شفيق  ,Shafiq
شهد  ,Shahd
شهيرة  ,Shahira
شهرزاد  ,Shahrazad
شهزاد  ,Shahzad
شكيل  ,Shakeel
شكيلة  ,Shakila
شاكرة  ,Shakira
شكورة  ,Shakura
شمس الدين  ,Shams al-din
شريف  ,Shareef
شريف  ,Sharif
شيماء  ,Shayma
شريف  ,Sherif
شكري  ,Shukri
ويليام,William
شكرية  ,Shukriyya
سها  ,Suha
سهيلة  ,Suhaila
سليمان  ,Sulaiman
سلطان  ,Sultan
سمية  ,Sumayya
ثرية	Surayya
ثريا	Surayya
طه  ,Taha
طاهرة  ,Tahira
تاج  ,Taj
طلعت  ,Tal'at
طالبة  ,Taliba
طارق  ,Tarek
طارق  ,Tariq
توفيق  ,Tawfiq
طيب  ,Tayyib
ثامر  ,Thamir
طوبى  ,Tuba
عمر  ,Umar
عثمان  ,Usman
عظمى  ,Uzma
وفائي  ,Wafai
وفية  ,Wafiya
وحيدة  ,Waheeda
وحيدة  ,Wahida
وقار  ,Waqar
وسيم  ,Wasim
وداد  ,Widad
يعقوب  ,Yakub
يعقوب  ,Yaqub
ياسين  ,Yasin
يسمين  ,Yasmeen
يسمين  ,Yasmine
يوسف  ,Yousef
يوحنا  ,Yuhanna
يوسف  ,Yusef
يسرى  ,Yusra
زاهر  ,Zaahir
زاهرة  ,Zaahira
زاهية  ,Zahia
زاهدة  ,Zahida
ظهيرة  ,Zahira
زهرة  ,Zahrah
زينة  ,Zaina
زكريا  ,Zakaria
زكريا  ,Zakariyya
ذكية  ,Zakiah
ذكية  ,Zakiyya
زين  ,Zayn
زينب  ,Zaynab
زياد  ,Ziad
زينة  ,Zinat
ضياء الدين  ,Ziya al-din
زبيدة  ,Zubaida
زليخا  ,Zulekha
ذو الفقار  ,Zulfikar
محمد,Mahammad
حصة,Hissa
ثابت,Thaabit
زياد,Ziyaad
زهراء,Zahraa
خالد,Khaalid
البندري,Albandari
عثمان,Osmaan
شيخ,Sheikh
باسل,Baasil
مزمل,Muzzamil
معتصم,Mutasim
وسام,Wisaam
جميلة,Jameela
عائشة,Aisha
امل,Amal
جواهر,Jawaahir
رغد,Ragd
ليث,Layth
ضحى,Duha
فادي,Faadi
باسمة,Baasima
اكرم,Akram
خديجة,Khadiija
فاطمة,Faatima
عجلان,Ajlaan
حرم,Haram
ريم,Reem
مروة,Marwa
ميادة,Maiyaada
إيمان,Emaan
لولوة,Luluah
نورة,Nuura
جاسم,Jaasim
هيا,Haya
سلطان,Sultaan
منتظر,Muntazar
علي,Ali
لطفي,Lutfi
نجاة,Najat
لطيفة,Lateefa
حمد,Hamad
ماجدة,Maajida
موزة,Moza
سعدون,Saduun
عزيزة,Azeeza
امينة,Ameena
سالم,Saalim
رامي,Raami
بسام,Bassaam
جون غارانغ,John Garang
كيزو اوبوتشي,Kizo Obutchi
ديانا لوبيز,Diana López
ونستون تشرشل,Winston Churchill
ديفيد بيكهام,David Beckham
البرت اينشتاين,Albert Einstein
بوب مارلي,Bob Marley
مارلين مونرو,Marilyn Monroe
نيلسون مانديلا,Nelson Mandela
لويس مورينو اوكامبو,Luis Morinho Okampo
اسامة بن لادن,Usama bin Ladin
ري تشارلز,Ray Charles
ليوناردو دافينشي,Leonardo daVinci
هوك هوغان,Hulk Hogan
هو جنتاو,Hu Jintau
دييغو مارادونا,Diego Maradona
البيرتو فوجيموري,Alberto Fujimori
ويليام شكسبير,William Shakespeare
اوبرا وينفري,Oprah Winfrey
جيمس كاميرون,James Cameron
الطيب صالح,Altayib Salih
ماريا كيري,Maria Cary
التون جون,Alton John
هيديكي يوكاوا,Hedeki Yukawa
خوزيه كورتيز,Jose Cortez
مارتينا نافراتيلوفا,Martina Navrátilová
نجيب محفوظ,Najib Mahfudh
ايمن الظواهري,Ayman Alzawahri
اوليفر كان,Oliver Kahn
لاري كينغ,Larry King
ناستازيا كينسكي,Nastassja Kinski
ياني خريسوماليس,Yanni Christomalis
ماريا كلاس,Maria Klaas
مايك اولدفيلد,Mike Oldfield
جاك كوستو,Jacques Cousteau
جوزيبي فيردي,Giuseppe Verdi
جاك شيراك,Jacques Chirac
مارتن لوثر,Martin Luther
بروس لي,Bruce Lee
فرح عيديد,Farah Eided
جوزف كوني,Joseph Koni
يوري اندروبوف,Yuri Andropov
مايكل جوردان,Michael Jordan
نييل ارمسترونغ,Neil Armstrong
الشاب خالد,Cheb Khalid
ماجدة الرومي,Majda Alrumi
انديرا غاندي,Andira Ghandi
برفيز مشرف,Pervez Musharraf
جاكي شان,Jackie Chan
هيفاء وهبي,Haifa Wahbe
زيغر,Dzegar
زيواك,Dziwak
زيغ,Dzeg
زيراك,Dzerak
خبلواك,Khapluwak
خوزشيت,Khodzshit
خيال,Khayal
خاورين,Khawrin
خيبر,Khaybar
بانغة,Panga
برخة,Parkha
بتاسة,Pitasa
بيروزة,Peruza
توربيكي,Torpekeiy
توتكي,Totkeiy
تنكي,Tankeiy
زانغة,Tsanga
زلبلة,Dzalbala
زولي,Dzoleiy
خزانة,Khazana
يوغرتن,Yugerten
توفايور,Tufayur
تنسن,Tinsin
تليتماس,Tlaytmas
تازرزت,Tazerzît
ميسر,Maysar
سادن,Saden
تحيات,Taheyyâtt
سينيمان,Siniman
بكوس,Bukkus
إيرات,Irat
إتو,Ittû
مسيفسن,Misifsen
تامانارت,Tamanart
تاسافوت,Tasafut
إزمرسن,Izemrasen
ماغر,Magher
إغدير,Igider
عزة,Izza
لونجا,Lunja
تسفاي,Tesfaye
غرماي,Girmaye
اسفا,Assefa
دقا,Dagga
برهان,Berhane
توجو,Tojo
يوهانس,Yohans
منليك,Menielk
كيداني,Kidany
غيتاتشو,Getachew
برهي,Berhy
ستوتو,Stetew
الولا,Alola
ترحاص,Tirhas
هيمانوت,Haymanot
تزازو,Tazazu
مالس,Melesse
هايلي,Hayli
يوردانوس,Yordanos
برخت,Berkhet
راجا,Raja
إيشانا,Ishana
موهان,Mohan
ديفاكي,Devaki
راشانا,Rachana
روهان,Rohan
غيتا,Gita
سانجاي,Sanjay
رافي,Ravi
ساتيا,Satya
فاسانتا,Vasanti
كافيندرا,Kavindra
لكشمي,Lakshmi
فيجاي,Vijay
شاكتي,Shakti
دارشان,Darshan
ديفا,Deva
شاندرا,Chandra
اجاي,Ajay
انيلا,Anila
سارة,Sarah
راشيل,Rachel
إستر,Esther
هانا,Hannah
ميريام,Miriam
ريبيكا,Rebecca
شوشانا,Shoshana
مالكا,Malka
ماريا,Maria
كلارا,Clara
ديبورا,Deborah
يهوديت,Judith
انا,Anna
فريدا,Fridah
بيلا,Bella
دينا,Dina
باتيا,Batya
ريجينا,Regina
تحية,Tahia
سونيا,Sonia
نعومي,Naomi
تمارا,Tamara
ليزا,Lisa
جينيا,Genia
كوهن,Cohen
ليفي,Levi
مزراحي,Mizrahi
كاتز,Katz
فريدمان,Friedman
سيغال,Segal
ابراهام,Abraham
غرينبرغ,Greenberg
اشكنازي,Ashkenazi
روزنبرغ,Rosenberg
بيتون,Beaton
ديفيد,David
غولدشتاين,Goldstein
فيلدمان,Feldman
يوسف,Joseph
مئير,Meir
غولدبرغ,Goldberg
موسى,Moses
سليمان,Solomon
يعقوب,Jacob
إسحاق,Isaac
ساسون,Sasson
جولدمان,Goldman
روبن,Robin
ليبرمان,Lieberman
ناحوم,Nahum
ادلر,Adler
شتاين,Stein
هيرش,Hirsch
عوفاديا,Ovadia
إسرائيل,Israel
الباز,Elbaz
إيليا,Elijah
عزرا,Ezra
ابراموف,Abramov
شموئيل,Samuel
هوشنغ,Houshang
فرساد,Farsad
جهان,ناز
مهرانغيز,Mehrangiz
فرشید,Farshid
شاهزادة,Shahzadeh
زرافشان,Zarafshan
بريجهرة,Parichehreh
فاروج,Varoozh
سبنتا,Sepanta
شیرویه,Shirouyeh
ارفانة,Arvaneh
فرجفند,Varjavand
دلیلة,Dalileh
تبسم,Tabassum
يزدغرد,Yazdgerd
جالة,Zhaleh
صدري,Sadri
تشنغيز,Changiz
طوسك,Tousak
مروان,Marwan
ميرهم,Mirham
قاسملو,Qasimlo
بخشين,Bikhshin
كرزان,Karzan
كرسو,Kasrow
بيشنغ,Bishang
فينو,Veno
خانه,Khanah
فراشين,Farashin
إيويش,Ewish
إكرام,Ekram
فيروز,Firoz
هادي,Hady
حكيم,Hakym
غشيلان,Gushilan
جورين,Joryn
كليجان,Kalijan
لاليخان,Lalikhan
غفو,Gafu
جوهر,Jawhar
لرزانه,Larzana
ليفكن,Levkan
مارين,Maryn
فردوس,Firdaws
فراش,Farash
ميناس,Manas
بيزير,Pezer
باكان,Pakan
هيلان,Helan
بوريس,Boris
بافيل,Pavel
فلاديمير,Vladimir
نيكولاي,Nikulay
اليكساندر,Alexander
ديميتري,Dimitry
اولغا,Olga
بيتر,Peter
ناتاليا,Natalia
سيرجي,Sergy
اليكسي,Alexy
كسينيا,Xenia
يلينا,Ylena
إيكاترينا,Ykatrina
اندريا,Andria
اليكساندرا,Alexandra
ادينا,Adina
ماريا,Maria
فاديم,Vadim
اوكسانا,Oxana
برفيز,Parvaiz
بينيظير,Benazir
ميرزا,Mirza
نسيمة,Nasimah
سردار,Sardar
رفيق,خان
افتخار,Eftikhar
سرتاج,Sartaj
عفراء,Afra
بهروز,Behruz
بانو,Bano
شريف,Sharif
جهانغير,خان
جميلة,Jamila
تشودري,Choderi
مشتاق,Mushtaq
قدير,Qadir
فرح,Farah
برفين,Parwin
نديمة,Nadimah
بولنت,Bulant
اهميت,Ahmat
هميرا,Humayra
هسين,Husayn
فكرية,Fikriyah
ايسل,Aysal
اغا,Aga
بنّور,Binnur
هاليل,Halil
بهلول,Behlul
إسمت,Ismat
إيفّت,Effat
اكشاي,Akshay
إيزت,Ezzat
براك,Burak
اردهان,Ardahan
إلهان,Elhan
إلكر,Elkar
بهار,Bahar
ايبوكه,Aybuka
إيزابيل,Isabel
شاكيرا,Shakira
اليخاندرو,Alejandro
غرازيانو,Graziano
كارلوس, Carlos
لويجي, Luigi
كلارابيلا,Clarabella
بيدرو, Pedro
باولينا,Paolina
فاليري,Vallerie
خافيير,Javier
بيير,Pierre
روبن,Robin
نيكولاوس,Nikolaus
سوزي,Susie
رولاند, Rolland
فيليس,Phillis
إليزابيتا,Elisabetta
دومينيك,Dominique
سركيس,Sarkis
هوندا,Honda
تاكيشي,Takeshi
ماروكو,Maruko
ماساكو,Masako
ماسارو,Masaru
سوزوكي,Suzuki
كيمكو,Kimiko
ساكاموتو,Sakamoto
شينجي,Shinji
شيزوكا,Shizuka
تويودا,Toyoda
ساتوشي,Satoshi
شيماموتو,Shimamoto
كاوازاكي,Kawazaki
إزايا,Izaya
ميزوتاني,Mizutani
إتشيرو,Ichiro
ناكاجيما,Nakajima
موراتا,Murata
هينومارو,Hinomaru
المساعفه,Almasaafa
الشمري,Ash-shimmiri
فضل الله,Fadl-lallah
حفناوي,Hafnaawi
حسنين,Hasanen
قائد,Gaayid
الدوسري,Ad-dawsari
خلايلة,khalaaylah
باعبود,Ba-abbud
كاظم,Kaadhim
الرملاوي,Ar-ramlaawi
بوزيان,Buzyaan
الخوري,Alkhuuri
بنسعيد,Binsaaid
البشير,Albashir
العلوي,Alalawi
الإدريسي,lydrisi
مهدي,Mahdi
فرغلي,Farghali
شنب,Shanab
الشيباني,Ash-shaybaani
الحربي,Alharbi
البلاونة,Albalaawnah
بودربالة,Budarbaala
الهيتي,Alheeti
الهنائي,Al-hanaei
الحمصي,Alhimsi
البلوشي,Albalushy
القليوبي,Alqalyuubi
الضوء,Aldaw
ملاسي,Mallasi
العسكري,Alaskari
الفزاني,Alfazzaani
الذيابات,Adh-dhiyaabat
الكباشي,Alkabbaashi
العجمي,Alajami
الشراح,Ash-sharraah
القلاف,Alqallaaf
الجيلاني,Aljelaani
الاخرس,Al-akhras
البلوشي,Al-baluushi
المحروقي,Al-mahruuqi
النجار,An-naggaar
المجيد,Almajeed
عواملة,Awamla
حجو,Haj-ju
اللبابيدي,Al-labaabidi
يحيى,Yahia
تجاني,Tijaani
التريكي,At-tireki
ارون,Aaron
اليكسيس,Alexis
انجيلينا,Angelina
عباس,Abbas
الفريد,Alfred
انجيلين,Angeline
ابي,Abby
الفريدو,Alfredo
انجي,Angie
عبدل,Abdul
علي,Ali
انيطا,Anita
ابيغيل,Abigail
اليس,Alice
ان,Ann
ادا,Ada
اليسيا,Alicia
انا,Anna
ادم,Adam
اليسا,Alisa
ان,Anne
ادي,Addie
اليشا,Alisha
انيت,Annette
اديلي,Adele
اليسون,Alison
اني,Annie
اديلين,Adeline
الان,Allan
انثوني,Anthony
ادريان,Adrian
الين,Allen
انطوانيط,Antoinette
ادريانا,Adriana
اليسون,Allison
انطونيا,Antonia
ادريان,Adrienne
الما,Alma
انطونيو,Antonio
افضل,Afzal
الطا,Alta
ابريل,April
اكنيس,Agnes
الفين,Alvin
عرف,Araf
احمد,Ahmed
اليسا,Alyssa
ارلين,Arlene
ايدا,Aida
اماندا,Amanda
ارماندو,Armando
ايلين,Aileen
امبر,Amber
ارنولد,Arnold
إيمي,Aimee
اميليا,Amelia
ارثر,Arthur
عائشة,Aisha
امين,Amin
اشلي,Ashley
اكبر,Akbar
إيمي,Amy
اشرف,Ashraf
اكرم,Akram
انا,Ana
اسلم,Aslam
علم,Alam
اندري,Andre
عصمة,Asmat
الان,Alan
اندريا,Andrea
اوديري,Audrey
البيرت,Albert
اندرو,Andrew
اورورا,Aurora
البيرتا,Alberta
اندي,Andy
عائشة,Ayesha
البيرطو,Alberto
انجيل,Angel
عزام,Azam
اليكس,Alex
انجيلا,Angela
الزهرة,Azara
اليكسندر,Alexander
انجيليا,Angelia
عزيز,Aziz
اليكسندرا,Alexandra
انجيليكا,Angelica
بدر,Badar
بيتسي,Betsy
برادلي,Bradley
بدور,Badhur
بيتي,Bette
براندي,Brandi
باربارا,Barbara
بيتي,Bettie
براندون,Brandon
بيري,Barry
بيتي,Betty
براندي,Brandy
بشير,Bashir
بولاه,Beulah
بريندا,Brenda
بياتريس,Beatrice
بيفيرلي,Beverly
برينت,Brent
بياتريس,Beatriz
بيل,Bill
بريت,Brett
بيكي,Becky
بيلي,Billie
برايان,Brian
بيليندا,Belinda
بيلي,Billy
بريدجيت,Bridget
بين,Ben
بلانكا,Blanca
بريطاني,Brittany
بنجامين,Benjamin
بلونش,Blanche
بريتني,Brittney
بيرنارديت,Bernadette
بوب,Bob
بروك,Brooke
بيرنارد,Bernard
بوبي,Bobbi
بروس,Bruce
بيرنيس,Bernice
بوبي,Bobbie
برايان,Bryan
بيرثا,Bertha
بوبي,Bobby
بيرون,Byron
بيسي,Bessie
بونيطا,Bonita
بيث,Beth
بوني ,Bonnie
بيثاني,Bethany
براد,Brad
كيتلين,Caitlin
سيسيل,Cecile
كلاريس,Clarice
كالي,Callie
سيسيليا,Cecilia
كلود,Claude
كالفين,Calvin
سيليستي,Celeste
كلوديت,Claudette
كاميل,Camille
سيليا ,Celia
كلوديا,Claudia
كانديس,Candace
تشاد,Chad
كلايطون,Clayton
كانديس,Candice
تشارلين,Charlene
كلو,Cleo
كاندي,Candy
تشارلز,Charles
كليفورد,Clifford
كارا,Cara
تشارلي,Charlie
كليفطون,Clifton
كارل,Carl
تشارلوط,Charlotte
كلينطون,Clinton
كارلا,Carla
تشيلسيا,Chelsea
كلايد,Clyde
كارلوس,Carlos
تشيري ,Cheri
كودي,Cody
كارميلا,Carmela
تشيري ,Cherie
كولين,Colleen
كارمين,Carmen
تشيريل,Cheryl
كوني,Connie
كارول,Carol
تشيستر,Chester
كونسطانس,Constance
كارول,Carole
كريس,Chris
كورا,Cora
كارولينا,Carolina
كريستا,Christa
كوري,Corey
كارولينا,Caroline
كريستي,Christi
